Name,star rating,Ratings,Offer Price,Original Price,Discount,Specifications
"Redmi 8 (Onyx Black, 64 GB)",4.4,"6,90,887 Ratings ","₹9,999","₹10,999",9% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB15.8 cm (6.22 inch) HD+ Display12MP + 2MP | 8MP Front Camera5000 mAh BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Redmi 8 (Sapphire Blue, 64 GB)",4.4,"6,90,887 Ratings ","₹9,999","₹10,999",9% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB15.8 cm (6.22 inch) HD+ Display12MP + 2MP | 8MP Front Camera5000 mAh BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Realme Narzo 10A (So Blue, 64 GB)",4.6,"19,996 Ratings ","₹9,999","₹10,999",9% off,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.56 cm (6.52 inch) HD+ Display12MP + 2MP + 2MP | 5MP Front Camera5000 mAh Lithium-ion BatteryMediaTek Helio G70 (12 nm) ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Realme Narzo 10A (So White, 64 GB)",4.6,"19,996 Ratings ","₹9,999","₹10,999",9% off,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.56 cm (6.52 inch) HD+ Display12MP + 2MP + 2MP | 5MP Front Camera5000 mAh Lithium-ion BatteryMediaTek Helio G70 (12 nm) ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Redmi 8 (Ruby Red, 64 GB)",4.4,"6,90,887 Ratings ","₹9,999","₹10,999",9% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB15.8 cm (6.22 inch) HD+ Display12MP + 2MP | 8MP Front Camera5000 mAh BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Redmi 8 (Emerald Green, 64 GB)",4.4,"6,90,887 Ratings ","₹9,999","₹10,999",9% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB15.8 cm (6.22 inch) HD+ Display12MP + 2MP | 8MP Front Camera5000 mAh BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Motorola G8 Power Lite (Royal Blue, 64 GB)",4.4,"30,232 Ratings ","₹9,499","₹9,999",5% off,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display16MP + 2MP + 2MP | 8MP Front Camera5000 mAh Lithium-ion BatteryMediaTek Helio P35 Processor1 Year for Handset and 6 Months for In-box Accessories
"Motorola G8 Power Lite (Arctic Blue, 64 GB)",4.4,"30,232 Ratings ","₹9,499","₹9,999",5% off,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display16MP + 2MP + 2MP | 8MP Front Camera5000 mAh Lithium-ion BatteryMediaTek Helio P35 Processor1 Year for Handset and 6 Months for In-box Accessories
"Vivo Y91i (Ocean Blue, 32 GB)",4.3,"21,835 Ratings ","₹7,990","₹9,990",20% off,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.8 cm (6.22 inch) HD+ Display13MP Rear Camera | 5MP Front Camera4030 mAh Li-ion BatteryMTK Helio P22 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Vivo Y91i (Fusion Black, 32 GB)",4.3,"21,835 Ratings ","₹7,990","₹9,990",20% off,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.8 cm (6.22 inch) HD+ Display13MP Rear Camera | 5MP Front Camera4030 mAh Li-ion BatteryMTK Helio P22 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
